"","City","ID","year","seas","variable","value"
"188","GUWAHATI / BORJHAR(A)","42410",2006,"DJF","Prec",0.196666666666667
"189","GUWAHATI / BORJHAR(A)","42410",2007,"DJF","Prec",1.06777777777778
"190","GUWAHATI / BORJHAR(A)","42410",2008,"DJF","Prec",0.52967032967033
"191","GUWAHATI / BORJHAR(A)","42410",2009,"DJF","Prec",0.0752808988764045
"192","GUWAHATI / BORJHAR(A)","42410",2010,"DJF","Prec",0.0288888888888889
"193","GUWAHATI / BORJHAR(A)","42410",2011,"DJF","Prec",0.438888888888889
"194","GUWAHATI / BORJHAR(A)","42410",2012,"DJF","Prec",0.212087912087912
"195","GUWAHATI / BORJHAR(A)","42410",2013,"DJF","Prec",0.128089887640449
"196","GUWAHATI / BORJHAR(A)","42410",2014,"DJF","Prec",0.317777777777778
"197","GUWAHATI / BORJHAR(A)","42410",2015,"DJF","Prec",0.48314606741573
"198","GUWAHATI / BORJHAR(A)","42410",2016,"DJF","Prec",0.304444444444444
"199","GUWAHATI / BORJHAR(A)","42410",2017,"DJF","Prec",0.117777777777778
"200","GUWAHATI / BORJHAR(A)","42410",2018,"DJF","Prec",0.0372881355932203
"201","IMPHAL / TULIHAL(A)","42623",1969,"DJF","Prec",0.0752808988764045
"202","IMPHAL / TULIHAL(A)","42623",1970,"DJF","Prec",1.21818181818182
"203","IMPHAL / TULIHAL(A)","42623",1971,"DJF","Prec",0.581111111111111
"204","IMPHAL / TULIHAL(A)","42623",1972,"DJF","Prec",0.7
"205","IMPHAL / TULIHAL(A)","42623",1973,"DJF","Prec",1.07011494252874
"206","IMPHAL / TULIHAL(A)","42623",1974,"DJF","Prec",0.0654320987654321
"207","IMPHAL / TULIHAL(A)","42623",1975,"DJF","Prec",0.303409090909091
"208","IMPHAL / TULIHAL(A)","42623",1976,"DJF","Prec",0.441573033707865
"209","IMPHAL / TULIHAL(A)","42623",1977,"DJF","Prec",0.580898876404494
"210","IMPHAL / TULIHAL(A)","42623",1978,"DJF","Prec",0.0573033707865169
"211","IMPHAL / TULIHAL(A)","42623",1979,"DJF","Prec",0.384444444444444
"212","IMPHAL / TULIHAL(A)","42623",1980,"DJF","Prec",0.474418604651163
"213","IMPHAL / TULIHAL(A)","42623",1981,"DJF","Prec",0.594318181818182
"214","IMPHAL / TULIHAL(A)","42623",1982,"DJF","Prec",1.04111111111111
"215","IMPHAL / TULIHAL(A)","42623",1983,"DJF","Prec",1.54606741573034
"216","IMPHAL / TULIHAL(A)","42623",1984,"DJF","Prec",0.32967032967033
"217","IMPHAL / TULIHAL(A)","42623",1985,"DJF","Prec",0.594444444444444
"218","IMPHAL / TULIHAL(A)","42623",1986,"DJF","Prec",0.391011235955056
"219","IMPHAL / TULIHAL(A)","42623",1987,"DJF","Prec",0.733333333333333
"220","IMPHAL / TULIHAL(A)","42623",1988,"DJF","Prec",0.457777777777778
"221","IMPHAL / TULIHAL(A)","42623",1989,"DJF","Prec",0.38876404494382
"222","IMPHAL / TULIHAL(A)","42623",1990,"DJF","Prec",1.06555555555556
"223","IMPHAL / TULIHAL(A)","42623",1991,"DJF","Prec",1.89111111111111
"224","IMPHAL / TULIHAL(A)","42623",1992,"DJF","Prec",1.01222222222222
"225","IMPHAL / TULIHAL(A)","42623",1993,"DJF","Prec",19.45
"226","IMPHAL / TULIHAL(A)","42623",1994,"DJF","Prec",10.35
"227","IMPHAL / TULIHAL(A)","42623",1995,"DJF","Prec",3.59285714285714
"228","IMPHAL / TULIHAL(A)","42623",1996,"DJF","Prec",2.3
"229","IMPHAL / TULIHAL(A)","42623",1997,"DJF","Prec",0.389772727272727
"230","IMPHAL / TULIHAL(A)","42623",1998,"DJF","Prec",NA
"231","IMPHAL / TULIHAL(A)","42623",1999,"DJF","Prec",0.153333333333333
"232","IMPHAL / TULIHAL(A)","42623",2000,"DJF","Prec",0.451162790697674
"233","IMPHAL / TULIHAL(A)","42623",2001,"DJF","Prec",0.785393258426966
"234","IMPHAL / TULIHAL(A)","42623",2002,"DJF","Prec",0.503333333333333
"235","IMPHAL / TULIHAL(A)","42623",2003,"DJF","Prec",0.240909090909091
"236","IMPHAL / TULIHAL(A)","42623",2004,"DJF","Prec",0.0844444444444444
"237","IMPHAL / TULIHAL(A)","42623",2005,"DJF","Prec",0.765168539325843
"238","IMPHAL / TULIHAL(A)","42623",2006,"DJF","Prec",0.667777777777778
"239","IMPHAL / TULIHAL(A)","42623",2007,"DJF","Prec",2.05333333333333
"240","IMPHAL / TULIHAL(A)","42623",2008,"DJF","Prec",0.716483516483516
"241","IMPHAL / TULIHAL(A)","42623",2009,"DJF","Prec",0.25
"242","IMPHAL / TULIHAL(A)","42623",2010,"DJF","Prec",0.691111111111111
"243","IMPHAL / TULIHAL(A)","42623",2011,"DJF","Prec",0.342222222222222
"244","IMPHAL / TULIHAL(A)","42623",2012,"DJF","Prec",0.216483516483516
"245","IMPHAL / TULIHAL(A)","42623",2013,"DJF","Prec",0.0266666666666667
"246","IMPHAL / TULIHAL(A)","42623",2014,"DJF","Prec",0.211111111111111
"247","IMPHAL / TULIHAL(A)","42623",2015,"DJF","Prec",0.521111111111111
"248","IMPHAL / TULIHAL(A)","42623",2016,"DJF","Prec",0.385393258426966
"249","IMPHAL / TULIHAL(A)","42623",2017,"DJF","Prec",1.45
"250","IMPHAL / TULIHAL(A)","42623",2018,"DJF","Prec",0.127118644067797
"251","AHMEDABAD (A)","42647",1969,"DJF","Prec",0.0441558441558442
"252","AHMEDABAD (A)","42647",1970,"DJF","Prec",0.0933333333333333
"253","AHMEDABAD (A)","42647",1971,"DJF","Prec",0
"254","AHMEDABAD (A)","42647",1972,"DJF","Prec",0
"255","AHMEDABAD (A)","42647",1973,"DJF","Prec",0.0833333333333333
"256","AHMEDABAD (A)","42647",1974,"DJF","Prec",0.00333333333333333
"257","AHMEDABAD (A)","42647",1975,"DJF","Prec",0
"258","AHMEDABAD (A)","42647",1976,"DJF","Prec",0
"259","AHMEDABAD (A)","42647",1977,"DJF","Prec",0.18
"260","AHMEDABAD (A)","42647",1978,"DJF","Prec",0.277777777777778
"261","AHMEDABAD (A)","42647",1979,"DJF","Prec",0.107777777777778
"262","AHMEDABAD (A)","42647",1980,"DJF","Prec",0.326666666666667
"263","AHMEDABAD (A)","42647",1981,"DJF","Prec",0
"264","AHMEDABAD (A)","42647",1982,"DJF","Prec",0.0561797752808989
"265","AHMEDABAD (A)","42647",1983,"DJF","Prec",0.0755555555555556
"266","AHMEDABAD (A)","42647",1984,"DJF","Prec",0
"267","AHMEDABAD (A)","42647",1985,"DJF","Prec",0
"268","AHMEDABAD (A)","42647",1986,"DJF","Prec",0
"269","AHMEDABAD (A)","42647",1987,"DJF","Prec",0.0876404494382022
"270","AHMEDABAD (A)","42647",1988,"DJF","Prec",0
"271","AHMEDABAD (A)","42647",1989,"DJF","Prec",0.0233333333333333
"272","AHMEDABAD (A)","42647",1990,"DJF","Prec",0.348314606741573
"273","AHMEDABAD (A)","42647",1991,"DJF","Prec",0
"274","AHMEDABAD (A)","42647",1992,"DJF","Prec",0
"275","AHMEDABAD (A)","42647",1993,"DJF","Prec",0.00888888888888889
"276","AHMEDABAD (A)","42647",1994,"DJF","Prec",0.09
"277","AHMEDABAD (A)","42647",1995,"DJF","Prec",0.0555555555555556
"278","AHMEDABAD (A)","42647",1996,"DJF","Prec",0.0032967032967033
"279","AHMEDABAD (A)","42647",1997,"DJF","Prec",0.127777777777778
"280","AHMEDABAD (A)","42647",1998,"DJF","Prec",0.0133333333333333
"281","AHMEDABAD (A)","42647",1999,"DJF","Prec",0.0288888888888889
"282","AHMEDABAD (A)","42647",2000,"DJF","Prec",0.0131868131868132
"283","AHMEDABAD (A)","42647",2001,"DJF","Prec",0
"284","AHMEDABAD (A)","42647",2002,"DJF","Prec",0.00555555555555556
"285","AHMEDABAD (A)","42647",2003,"DJF","Prec",0.126666666666667
"286","AHMEDABAD (A)","42647",2004,"DJF","Prec",0
"287","AHMEDABAD (A)","42647",2005,"DJF","Prec",0
"288","AHMEDABAD (A)","42647",2006,"DJF","Prec",0
"289","AHMEDABAD (A)","42647",2007,"DJF","Prec",0.0144444444444444
"290","AHMEDABAD (A)","42647",2008,"DJF","Prec",0.0615384615384615
"291","AHMEDABAD (A)","42647",2009,"DJF","Prec",0
"292","AHMEDABAD (A)","42647",2010,"DJF","Prec",0.0355555555555556
"293","AHMEDABAD (A)","42647",2011,"DJF","Prec",0
"294","AHMEDABAD (A)","42647",2012,"DJF","Prec",0
"295","AHMEDABAD (A)","42647",2013,"DJF","Prec",0.00222222222222222
"296","AHMEDABAD (A)","42647",2014,"DJF","Prec",0.0644444444444444
"297","AHMEDABAD (A)","42647",2015,"DJF","Prec",0.0844444444444444
"298","AHMEDABAD (A)","42647",2016,"DJF","Prec",0
"299","AHMEDABAD (A)","42647",2017,"DJF","Prec",0.133333333333333
"300","AHMEDABAD (A)","42647",2018,"DJF","Prec",0
"301","KOLKATA (ALIPORE)","42807",1969,"DJF","Prec",0.433333333333333
"302","KOLKATA (ALIPORE)","42807",1970,"DJF","Prec",0.11
"303","KOLKATA (ALIPORE)","42807",1971,"DJF","Prec",1.0875
